Type,wallet_address,sell,buy,volume (usd),time,tx_hash
CLASSIC,0x1d967c4c1a75416d569c4a7a810544c20c217cb4,vbUSDC,ETH,10.000000,2025-11-24T15:06:11.000Z,0x4b9d33577f69e5e3b718d4cd1688cfdcf169528f2b6268e183069ed96eb8ce06
CLASSIC,0x1d967c4c1a75416d569c4a7a810544c20c217cb4,vbUSDC,vbWBTC,15.000000,2025-11-24T15:11:44.000Z,0xd11f32306c2e9bbf4239b40d4928e7eb1a0f54500694ba622bfe612812c2b083
CLASSIC,0xb6507286a434aeca3496ce45bb669b55cd026573,ETH,vbETH,60.658525,2025-11-27T22:13:33.000Z,0x8c4c9d9b1185cc2bd7f2253f8e60443b5e580c97bf71fe59f55515df90f99166
CLASSIC,0x077b5f9839c00bca6ed8e5f2717e6e202ef517c9,vbETH,vbUSDC,8.528115,2025-11-28T14:27:54.000Z,0x092fb0ae9b2957385620c9ab18cf7d1eb1029af796c4ef6d036f68cd93607e96
CLASSIC,0xb6507286a434aeca3496ce45bb669b55cd026573,ETH,vbETH,14.449323,2025-11-28T14:30:53.000Z,0x677c98fbebaa704167ac0ea9310ae9657456f143c002577e827f28774cb5257f
CLASSIC,0xb6507286a434aeca3496ce45bb669b55cd026573,ETH,vbUSDC,25.500000,2025-11-28T14:31:24.000Z,0xcecbd4506deb2ac78446938abc512d972106796bb04e566f519411680b75320f
CLASSIC,0x7595b628314eb2f2bb1f94e388cdb01649a09516,ETH,vbUSDC,47.937018,2025-11-28T14:34:42.000Z,0x6cc5e57d7ca522f6a473e0c0759d3c3a246b90a505b1b09c905ef4e5b58df6d9
CLASSIC,0x7595b628314eb2f2bb1f94e388cdb01649a09516,ETH,vbETH,47.990000,2025-11-28T14:35:08.000Z,0x5691a863a948872aacd308ce739d28a788746b0f9a9cf1157b4f58cf59d6a4a7
CLASSIC,0xc013e9f44a87a8520b195529a10bc4abf18af9d8,ETH,vbUSDC,48.860000,2025-11-28T14:36:27.000Z,0x04776ba78123ed43cf4c2fa2997ba969ae374b4f3004fa33fc1e84dd31a6444c
CLASSIC,0xc013e9f44a87a8520b195529a10bc4abf18af9d8,ETH,vbETH,48.860000,2025-11-28T14:37:48.000Z,0x6965f305e08676819bb9ddb4456b6b0ca1fbdc4a6c06fe0b264cb8d9039f6ab8
CLASSIC,0x2e3e43fce51a5f1830c07cd67f5ecb70726b1b74,ETH,vbUSDC,48.000000,2025-11-28T14:39:00.000Z,0x5f4cf0f48f8adfb3906da2db6ce7f6a29163c63710316d34c10bc223c9e80ea6
CLASSIC,0x2e3e43fce51a5f1830c07cd67f5ecb70726b1b74,ETH,vbETH,48.900000,2025-11-28T14:39:25.000Z,0xa1cf1407f8293f411b0f452f1e13d3a78ab23541f590545819a59c69bfbda4f3
CLASSIC,0xee4b9dadabf637cacad7da009b5f506a1a24daf2,ETH,vbUSDC,48.665000,2025-11-28T14:43:00.000Z,0xc38bff06797d2083e030c6937645abd83ac89efcdc261e383b38aaad8cf3c8e2
CLASSIC,0xee4b9dadabf637cacad7da009b5f506a1a24daf2,ETH,vbETH,48.660000,2025-11-28T14:43:23.000Z,0x40ea8bedc5c0d241c9d15eacc4d78300f3f6f48889e556d08c0ebfc1c721e32c
CLASSIC,0x25d9670fda5e043efd51cac6d8a5eb2ff6854d99,ETH,vbUSDC,48.590000,2025-11-28T14:44:47.000Z,0xd60cf213021ed1e22d3d8c640fb310014833793dce4d173cc4b1cc03f43f2950
CLASSIC,0x25d9670fda5e043efd51cac6d8a5eb2ff6854d99,ETH,vbETH,48.590000,2025-11-28T14:45:22.000Z,0x4fee231bb4e17da8a11f6a430ae01cd47ea2700c21dab5b9e961d1135d284877
CLASSIC,0xa3ba94681679be31d2560a26868953f0635c78ed,ETH,vbUSDC,48.510000,2025-11-28T14:46:58.000Z,0x12b28a8a328ce71d7d11b7d11aa1593eb3974c233cdc236257068876b5135259
CLASSIC,0xa3ba94681679be31d2560a26868953f0635c78ed,ETH,vbETH,48.500000,2025-11-28T14:47:30.000Z,0x17dec58106df1fbb10d608be8b5ad4d91dc86646c1e7976d1080ca134367837c
CLASSIC,0xe5d11f7b119ac649bce23de73628ba57ce1d098d,ETH,vbUSDC,48.600000,2025-11-28T14:49:30.000Z,0xa189f0d056f74b616d5afd6bee8adfde7ed282b9231add8f3ca22b58a4318ae3
CLASSIC,0xe5d11f7b119ac649bce23de73628ba57ce1d098d,ETH,vbETH,48.600000,2025-11-28T14:49:50.000Z,0xad08932308b028d3736efa088303dd7fe9733862a34b578d5b99e1eda6aafda0
CLASSIC,0xff6cdbd2c5771d4f27085a424a94362a013466b8,ETH,vbUSDC,48.720000,2025-11-28T14:53:05.000Z,0xa0ac6ca0bbc3b7067ee34f9440dc72170ba750947fa2a39d57074de9b31135de
CLASSIC,0xff6cdbd2c5771d4f27085a424a94362a013466b8,ETH,vbETH,48.720000,2025-11-28T14:53:24.000Z,0x6a8dd3f1579bf837dc4bfb6fa833b8ccd47955acf95c3f5ec85dd010f0a61e35
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:39:01.000Z,0xab42c8861b2c463c05389383f329213ef298ae3363467f4840509ddd468d3ee2
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:39:11.000Z,0x85810de60873ccac8ab16e477891ca27a359274ea139affbf928da70b52b2756
LIMIT_ORDER,0xB6507286a434aEca3496cE45bb669b55cd026573,USDC,ETH,0.000000,2025-11-28T15:39:17.000Z,0x6b23a42b0dfb5418e8ee6b33504ab382c5d6a60b3b05f891ed167cf982683d39
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:39:23.000Z,0xed24b912487e752d7adacef00f23e5be3207c86624efa723f075f1e5600a7949
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:39:51.000Z,0x14424f20bf9d31c6fb5a411c74feaf6168c58e44e8d40596ad409005b6239375
LIMIT_ORDER,0xB6507286a434aEca3496cE45bb669b55cd026573,USDC,ETH,0.000000,2025-11-28T15:39:56.000Z,0x033484f74eeeea73399ace56ee2add3ed9e11ac0726d381312a3b77a42fd2948
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:40:06.000Z,0x3894574b414dfd1dfca3fcfc144cdcfa8125f22e3b1e0899d182585b9e450901
LIMIT_ORDER,0xB6507286a434aEca3496cE45bb669b55cd026573,USDC,ETH,0.000000,2025-11-28T15:40:11.000Z,0xa8733f84224185abaa1c93b804bdeed7d85ae8578a4cb06ab25314fe826a1713
LIMIT_ORDER,0x7595B628314EB2f2bb1f94E388Cdb01649a09516,USDC,ETH,0.000000,2025-11-28T15:40:11.000Z,0xff340600d13fabb0a0fe19faef18a70e5355ec757c2a1f725f10e75b4c21ba95
LIMIT_ORDER,0x077b5f9839c00bCa6eD8e5F2717E6e202ef517c9,USDC,ETH,0.000000,2025-11-28T15:40:20.000Z,0xa86d295956847b2ad7d5222c2135e3ef0d7fe891754ac0f7aa78d7803983709e
LIMIT_ORDER,0xC013e9f44A87A8520b195529a10Bc4abF18AF9D8,USDC,ETH,0.000000,2025-11-28T15:40:20.000Z,0x9200acd600fdb7fa28d20351aed1d281b24bb5081e5a8a6e2cb68651f64b5c7e
LIMIT_ORDER,0xB6507286a434aEca3496cE45bb669b55cd026573,USDC,ETH,0.000000,2025-11-28T15:40:26.000Z,0x5f1ea44133062cf5a766bc4be223cbd2892355f928df1712735f74be38be91d3
LIMIT_ORDER,0x7595B628314EB2f2bb1f94E388Cdb01649a09516,USDC,ETH,0.000000,2025-11-28T15:40:26.000Z,0x3c42472e228c97ac3e461c6abf32f0a78ccc7aaee2d34434618bfbf8d79b4968
LIMIT_ORDER,0xC013e9f44A87A8520b195529a10Bc4abF18AF9D8,USDC,ETH,0.000000,2025-11-28T15:40:30.000Z,0x257856962a2d34fa8d6a1e5623be4d2860ca9e6de10ef3c03f1752c43f83120e
LIMIT_ORDER,0x2E3E43Fce51a5f1830C07Cd67f5ecb70726B1b74,USDC,ETH,0.000000,2025-11-28T15:40:34.000Z,0xafa7dba19130abdafbb7da6dddf290764100f3c07263ba432d0c8931a8367992
LIMIT_ORDER,0x7595B628314EB2f2bb1f94E388Cdb01649a09516,USDC,ETH,0.000000,2025-11-28T15:40:40.000Z,0xebf3ab871c0c7334716f1b56fa298555755542217ff4ded96feef9087e71507d
LIMIT_ORDER,0xC013e9f44A87A8520b195529a10Bc4abF18AF9D8,USDC,ETH,0.000000,2025-11-28T15:40:41.000Z,0x1f7acaec422d5b023abd4282266c3c254d44faf542e9172819fa8efa888926f1
LIMIT_ORDER,0xeE4b9DaDabf637Cacad7DA009b5F506a1a24DAf2,USDC,ETH,0.000000,2025-11-28T15:40:44.000Z,0xc7c64ddfd11cf4c7efe1a92184e065e1593daea3a0c926946ed189bd9c043d8a
LIMIT_ORDER,0x2E3E43Fce51a5f1830C07Cd67f5ecb70726B1b74,USDC,ETH,0.000000,2025-11-28T15:40:48.000Z,0xa16c499f48e9091d5a4d405ee053442c8f81e4c2d92c1d7fdfd75031303dbbe5
LIMIT_ORDER,0x25D9670Fda5e043Efd51caC6d8a5EB2Ff6854D99,USDC,ETH,0.000000,2025-11-28T15:40:52.000Z,0x01100882fce9a8c6adfcbeb0a17cdc2572cb3bdb08586f0946f2bda5d0484068
LIMIT_ORDER,0xeE4b9DaDabf637Cacad7DA009b5F506a1a24DAf2,USDC,ETH,0.000000,2025-11-28T15:40:54.000Z,0xcf8d3641d16be288f73e721e6acfc8e3393c46e185f6208398168c922541ca7f
LIMIT_ORDER,0x2E3E43Fce51a5f1830C07Cd67f5ecb70726B1b74,USDC,ETH,0.000000,2025-11-28T15:41:00.000Z,0xcb1eb699fce2af4f5d9c088a94c272b3f702676d5e4cdd57a35822e52730a13e
LIMIT_ORDER,0xFF6cdbd2c5771d4F27085A424A94362a013466b8,USDC,ETH,0.000000,2025-11-28T15:41:06.000Z,0xe889a5ee98e8c9178654a41c21785fb83bf332122cb84a30e34798287ec7633b
