Rank,wallet_address,total_volume(usd),total_swaps,classic_swaps,limit_orders
1,0xe8d579973db8e95e8ff0f5ce41b373ed10858ac2,3177387.068058,7497,4932,2565
2,0x4e1d81a3e627b9294532e990109e4c21d217376c,2486632.360036,11490,6971,4519
3,0xc36024094cc581092708b540371f75d5eec7dd11,1946746.640068,15170,9825,5345
4,0xd2b37ade14708bf18904047b1e31f8166d39612b,1852541.907379,4750,3086,1664
5,0x52c3ac72c48a1ef7f5b7c8edef14b3483697f626,1143890.885451,421,266,155
6,0x5b46ccf2b43b387eac375b774600550a4754a68d,1142803.401371,8069,5459,2610
7,0xc10ee9031f2a0b84766a86b55a8d90f357910fb4,879453.927022,6699,4184,2515
8,0x0d370a065353271e6218e07e10147df2dc24bf9d,646030.691482,516,338,178
9,0xded9c2aa6d11368cbce8cd2413a3e17bac37792f,590826.810192,175,115,60
10,0xe89aab725a2b2c0656248dcccc894a04661be55a,544779.429594,2311,1394,917
11,0x11145aa7eef8a3c61ffef3f74981755e3148d358,399861.232016,1138,756,382
12,0x6048ea7b606bb8c2dbf5206fa6425316703fdcbb,397567.780270,3116,1943,1173
13,0xf0dcca6e947de16697455a24caed9239e77fbad3,241473.652769,720,462,258
14,0x7686af9e0bb5c155567b16385e4458c66e269cfa,192768.992521,8,6,2
15,0xf0b3dfca10a536ad8dba14887954e976650dce6d,185822.801881,545,353,192
16,0x57c6a0f373f2370da55fc675fb18417eb3dfc820,178632.313377,407,264,143
17,0x7c88f05dc90eede8e265765fe52183f3bed51939,128355.672006,2099,1303,796
18,0xc3ee337b591385a7e64c69b68e63c35af3f8ca4d,126610.187822,535,347,188
19,0xf7b8f80ebb50ef36fb033f274c7354a300477aab,116921.996599,30,25,5
20,0x5446164a01acfdbe8e09e27697b07aaa386b38c9,78163.451157,152,103,49
21,0x7ca081cb7bbbbc2e82e53d8df5fe74cc6a0e76c7,66853.463013,243,162,81
22,0xabf5cbf354b338b6a385e8533037fa93a621d554,61246.008342,4,4,0
23,0x22ea738c91c848b7476f13d316305773b942ad0d,59745.877201,684,441,243
24,0xd2e5600d14f6b91d1f38b7105bd0a33669a2c74f,56576.243763,222,150,72
25,0xdaf14249067ac9d70334af0e6d8ae3d1017c0a31,47621.861676,264,183,81
26,0x2c7e4c18a7ae7f361f904b0d51d4ee3c64896fee,38447.856291,969,615,354
27,0x7c5efe36ff9a929c5a873c3a97f0f4dcc0d8dd4b,29994.167860,152,87,65
28,0x9bf22b95faf36731f498c1251eea087f19b09be7,27923.467647,112,83,29
29,0xb93f3cac91fd6914151cb08876a8260525652547,27883.802370,282,151,131
30,0x6847de05029c59d1f47fa4cb63cae303edb6b870,27126.334523,52,31,21
31,0xca2f1923200e4cef4df0d478a9aea6331a37fae5,26999.806722,190,118,72
32,0xa88b82b83e07a470cb47ee55c85ea8fe9f361877,18937.508237,3530,2320,1210
33,0x98851dd420a9463e5692e9e2f81e83d044f35b49,18917.630053,488,306,182
34,0x616bc449852f7f867fd569e83bd26b9bbc108456,16673.743034,62,38,24
35,0xfbaf761b24545e75b4dcf0e51f5cd8feae82724f,15838.425818,82,61,21
36,0x5f13d90c33a7bead42f6e07f80a430d8b229b080,15835.614412,79,51,28
37,0x42ef97fae7ad46d98baf99a0e505b43b7e1c00e9,15524.454648,190,127,63
38,0x54b2529513036a263e8e3f63b8b9dc4ce221a0b7,15416.177622,3,1,2
39,0x487cc3fa56af0539cadb7a6e0cc754c6f52914d8,12226.465541,20,15,5
40,0x09454103ec86407bfa3f33b4483fa6009bbe8c0d,11778.898468,21,14,7
41,0xe578184bc88eb48485bba23a37b5509578d2ae38,8874.370635,119,77,42
42,0x9bf8885c79396457472d72a349b1df04ca3c4248,8495.632875,46,29,17
43,0x506ba17309890263beb8459f8242d00d274e9629,7761.539095,12,10,2
44,0xbc96eaa3ffb5b661bed9df5fec519feaa6051303,7640.194611,23,18,5
45,0x55bfc5b5ed11283494a6b001b92397bd7c6ddc68,6913.115577,135,82,53
46,0x2378946e919ceb421467d49b3d228680460b0a45,6846.591079,39,25,14
47,0x8ee919f02a000ac0c134b2c7d26459c444556330,6435.743633,30,13,17
48,0x18795eb25aa3c9cd60854376a049d401423f1d60,6362.302013,18,13,5
49,0x9e3486ae4857822a8f61dbedb9f2f5133af76026,5421.812826,160,105,55
50,0x188a6ebca81611237aa650e12aff648800ce92b4,5273.793188,7,6,1
51,0x94fe55d5c43270e24d8a20f39a1c0b898ea408d2,4260.435814,17,8,9
52,0xca5021bf2514e5cdacf46870c2953b7771f2d552,4084.789353,222,142,80
53,0xbbfaf211a0703d564d37355361c0c931a72c159c,3926.812070,7,4,3
54,0x4d03821eebe8be3b3c6acad2bd2142bce2908018,3904.096999,20,10,10
55,0xe3ce65a97beaa359f68576cff7c66232ffd14965,3828.715612,1,1,0
56,0x913b09522b4a8ed327ea8a2b0e66268498d20240,3788.134862,31,24,7
57,0xde0393b25d66d40bb7e804a7b4610cbb0539d3a9,3553.337801,30,21,9
58,0x6ef62ff84b2b4b3c13ebe4ecefa11bda1688794e,3478.430378,109,72,37
59,0x4cb649185a53b84b22b694a458578b753976f60f,3417.716728,91,50,41
60,0xc9841010cece116cd4dc9b3623e07dd7f0962f2b,3386.185514,17,8,9
61,0x65fb01d15370218ee46125df6f352c052c7dde67,3042.346261,26,13,13
62,0x8dc76b0dcf92a1f5c163896f1d04557ef3db21ce,2904.155382,2,1,1
63,0xaaae2bc64c7a3920b7ab93e1e22b9c07d1c713f3,2891.326648,127,73,54
64,0x0a1d526f509b2203ace5c55d832a9b7b91566c56,2527.051962,19,9,10
65,0x1c4c4ba225efe01a965d65284ecfc6a38f8743a3,2443.400743,27,20,7
66,0x01ffcebd15e2effd96ba1c3014c9260ecb575823,2331.129527,17,15,2
67,0x5977767ef6324864f170318681eccb82315f8761,2297.231027,76,48,28
68,0x052d6ce1d699c7be1e5bfe26ab016b811a335a4c,2278.003780,74,38,36
69,0xfc214cd5b04193217b2c837314e1719224574609,2150.953061,3,2,1
70,0x69ea51d49b1053a4ce49c67b91872ae8b8a00998,2098.662842,86,53,33
71,0x9b13bb2c4cc60b3f2c5d3e28aa3dfedab43c70ea,1998.675004,56,33,23
72,0x46930b464fcf3c56033891d47778c6c5fa725a8e,1987.491876,64,33,31
73,0xff065e52a63966477f611600442849fd2fe92d02,1914.077873,9,4,5
74,0x9478d67d159c01a1b55c37181127e0b952d20c11,1899.008497,29,18,11
75,0x340d75e1cae676672ff5a5ce120dc874116ad87c,1740.643304,21,13,8
76,0x19f37f5e29a356df843c240b089c3870fb211fe9,1495.775392,18,11,7
77,0xaca9a5a1a4022840d4984ae1971117d4b547ab73,1442.979662,35,19,16
78,0xaab60c89f099c09183d158e66fb096fdf06bec39,1422.189789,7,4,3
79,0xdb6328c9131acaad52ade1d5d4fd771e1ce35c20,1416.745737,6,4,2
80,0xb2749562d40509aff66e18d709ec0d6b250957d7,1389.492173,4,2,2
81,0xa5b11d75554b496bda5b5c3a0e97bd298481f583,1341.360377,3,2,1
82,0xa389053cdb85db05e4df6ca129eea636addf86e5,1330.363687,200,119,81
83,0x811b8c618716ca62b092b67c09e55361ae6df429,1134.578549,27,14,13
84,0xda4c8979e21d0748ceedd05b896a69ed6fea20ac,1123.914777,9,5,4
85,0x78e6eb1e718dffb137fbd80b8fefb52db6e25c03,1116.369110,12,6,6
86,0x8ac9a899193475e2c5c55e80c826d2e433d583b3,1098.325132,1,1,0
87,0xac752eb88d460d234d016d3e8ac10f1b05a9eb6f,906.569152,74,5,69
88,0x9c4b4a848fa49f9567601c07b95e667930df4d1c,897.109566,74,4,70
89,0x86b0c10c4c48fa0dac2cbf78f459e09c879e63c0,832.870714,71,4,67
90,0x1ce449923e2375a3bd27b74f359ab22a142f677f,795.114441,18,10,8
91,0xccb28b856ab122aab6a8333540cc5be92ebb6a31,775.093524,21,12,9
92,0x53901a1efba3f425ad5b5c2f76176e85587d1e64,754.238703,1,1,0
93,0x9140adceabb0f98a8d3639e42b56bf23d4cae6d0,678.034628,18,9,9
94,0xb055a1c35a69f2ad23b1d1bd218c751c53b96d9e,667.970438,12,6,6
95,0x75a08ab843f458f5039a55a93ca0ca2af42ea609,639.048904,31,22,9
96,0xf00002236e516b0820a85a5887a8b10ea3a7e7bb,636.518136,1,1,0
97,0x64f604e78be6317af0bb7a92cc1d46718d4899bc,618.299565,55,5,50
98,0xc36797efb5965a8e96be48cf17f9cb54adcdbec8,617.359973,19,11,8
99,0x0de1b7806c4eff28af3803c42404f11eb7720b3b,610.914879,2,0,2
100,0xb06a88bba65763e21ed00a6c7b0455445734a42b,604.867947,11,9,2
